,school,sex,dob,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,nurse_visit,absences,Grades
1,GP,F,6/5/2000,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4/10/2014 14:59,6,5/6/2006
2,GP,F,11/25/1999,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,3/12/2015 14:59,4,5/5/2006
3,GP,F,2/2/1998,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,9/21/2015 14:59,10,7/8/2010
4,GP,F,12/20/1997,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2, ,1,1,5,9/3/2015 14:59,2,15/14/15
5,GP,F,10/4/1998,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4/7/2015 14:59,4,6/10/2010
6,GP,M,6/16/1999,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,11/15/2013 14:59,10,15/15/15
7,GP,M,9/20/1997,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,9/20/2015 14:59,0,12/12/2011
8,GP,F,7/5/1998,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2/1/2015 14:59,6,6/5/2006
9,GP,M,3/18/2000,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,4/12/2015 14:59,0,16/18/19
10,GP,M,3/18/1997,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,12/30/2014 14:59,0,14/15/15
11,GP,F,2/21/1998,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,3/8/2014 14:59,0,10/8/2009
12,GP,F,11/24/1999,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,,,1,4,11/30/2014 14:59,4,10/12/2012
13,GP,M,5/9/1999,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,,,3,5,10/10/2015 14:59,2,14/14/14
14,GP,M,10/7/1997,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,,,2,3,7/26/2014 14:59,2,10/10/2011
15,GP,M,5/2/1999,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,,,1,3,4/18/2015 14:59,0,14/16/16
16,GP,F,5/25/1998,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,,,2,2,1/1/2014 14:59,4,14/14/14
17,GP,F,2/15/1997,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,,,2,2,2/23/2014 14:59,6,13/14/14
18,GP,F,4/22/1999,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,,,1,4,9/25/2015 14:59,4,8/10/2010
19,GP,M,7/27/1999,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,,,4,5,10/1/2015 14:59,16,6/5/2005
20,GP,M,12/19/1998,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,12/13/2013 14:59,4,8/10/2010
21,GP,M,11/6/1999,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,8/20/2015 14:59,0,13/14/15
22,GP,M,6/10/1998,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,1/21/2014 14:59,0,12/15/2015
23,GP,M,10/23/1997,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,10/15/2014 14:59,2,15/15/16
24,GP,M,5/26/1997,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,11/21/2014 14:59,0,13/13/12
25,GP,F,7/28/1997,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,5/20/2014 14:59,2,10/9/2008
26,GP,F,4/16/1999,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,12/22/2013 14:59,14,6/9/2008
27,GP,M,11/10/1999,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,6/14/2014 14:59,2,12/12/2011
28,GP,M,8/22/1997,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,9/24/2015 14:59,4,15/16/15
29,GP,M,9/1/1999,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2/24/2014 14:59,4,11/11/2011
30,GP,M,1/7/1999,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,7/20/2014 14:59,16,10/12/2011
31,GP,M,2/3/1998,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,10/31/2013 14:59,0,9/11/2012
